And  2
But  2
Children  1
He  2
In  1
It  1
Old  1
One  1
Skyscrapers  1
Some  1
Sometimes  1
The  2
Years  1
a  4
about  1
agreed  1
all  1
aloud  1
and  9
any  1
around  1
believed  1
belonged  1
benches  1
between  2
birds  2
boy  1
breath  1
breeze  1
brought  1
by  1
came  1
carried  1
chasing  1
city  1
clouds  1
echoed  1
every  1
everyone  1
feel  1
found  2
from  1
garden  2
golden  1
he  1
heart  1
hidden  1
in  5
it  2
leaves  1
long  1
made  1
men  1
merely  1
moment  1
more  1
moss  1
near  1
nearby  1
no  1
not  1
of  7
old  1
on  2
others  1
played  1
poems  1
read  1
reflected  1
rose  1
said  1
sang  1
sat  2
scent  1
shadows  1
something  1
somewhere  1
spinning  1
spoke  1
still  2
stone  1
surrounded  1
that  2
the  15
them  1
there  2
those  1
to  3
traffic  1
walls  1
wandered  1
was  4
while  1
whispering  1
who  2
world  1
worn  1
wrote  2
years  1
yet  1
