the  15
and  9
of  7
in  5
was  4
a  4
to  3
on  2
sat  2
it  2
still  2
found  2
who  2
But  2
wrote  2
that  2
birds  2
between  2
The  2
He  2
garden  2
And  2
there  2
memory.  1
read  1
Sometimes  1
scent  1
he  1
carried  1
breeze  1
boy  1
water,  1
reflected  1
clouds  1
silence,  1
leaves  1
poems.  1
fountain,  1
near  1
cross-legged  1
notebook,  1
brought  1
day.  1
every  1
came  1
remained.  1
from  1
In  1
poems  1
stone,  1
moss  1
grass,  1
somewhere  1
noise.  1
breath  1
stillness,  1
moment  1
peace,  1
wandered  1
those  1
streets.  1
nearby  1
them  1
echoed  1
traffic  1
garden,  1
old  1
around  1
rose  1
Skyscrapers  1
grew.  1
city  1
passed.  1
Years  1
listened.  1
sometimes,  1
birds.  1
aloud  1
chasing  1
sang  1
while  1
past,  1
long  1
years  1
spoke  1
benches  1
worn  1
men  1
Old  1
sunlight.  1
golden  1
spinning  1
shadows  1
overhead.  1
afternoons,  1
played  1
Children  1
trees.  1
whispering  1
walls  1
stone  1
by  1
surrounded  1
place,  1
hidden  1
garden—a  1
city,  1
heart  1
others  1
real.  1
more  1
quieter,  1
softer,  1
feel  1
world  1
made  1
about  1
something  1
agreed  1
all  1
forgotten.  1
merely  1
believed  1
One  1
magic,  1
said  1
Some  1
it.  1
everyone  1
yet  1
one,  1
no  1
belonged  1
It  1
map.  1
any  1
not  1
